emsno,工廠名稱,uniformno,county,township,facilityaddress,industryareaname,industryid,industryname,TWD97X,TWD97Y,wgs84lon,wgs84lat,isair,iswater,iswaste,istoxic,issoil,airreleasedate,waterreleasedate,wastereleasedate,toxicreleasedate,soilreleasedate,industrygroup,admino,facno
A3400047,兄弟大飯店股份有限公司-兄弟大飯店,4274804,臺北市,松山區,臺北市松山區南京東路三段二五五號,非屬工業區類,5510,短期住宿業,304949.3774,2771648.871,121.5446008,25.05200985,1,1,1,1,0,,1993/5/5,,2021/2/20,,551,,
A3400109,基督復臨安息日會醫療財團法人臺安醫院,,臺北市,松山區,臺北市松山區八德路二段四二四、四二六號,非屬工業區類,8610,醫院,305276.7236,2771174.355,121.547826,25.047714,1,1,1,1,0,,1992/9/16,,2021/2/20,,861,63000,
A3400118,長庚醫療財團法人台北長庚紀念醫院,4122949,臺北市,松山區,臺北市松山區敦化北路一九九號、南京東路三段三三七號、民生東路三段一三○巷九號,非屬工業區類,8610,醫院,305452.1162,2772036.248,121.5495989,25.0554887,1,1,1,1,0,,1992/9/16,,2021/2/20,,861,,
A3400298,台灣中油股份有限公司-民生東路加油站,78334051,臺北市,松山區,臺北市松山區三民路一二六號,非屬工業區類,4821,加油及加氣站,306890.4363,2772481.779,121.5638723,25.05945747,1,1,0,0,0,,2003/7/4,,,,482,,
A3400305,台灣中油股份有限公司-光復北路加油站,1606343,臺北市,松山區,臺北市松山區光復北路一三號,非屬工業區類,4821,加油及加氣站,306308.1906,2771367.982,121.558056,25.049424,1,0,0,0,0,,,,,,482,,
A3400314,台灣中油股份有限公司-復興北路加油站,1606300,臺北市,松山區,臺北市松山區復興北路三一號,非屬工業區類,4821,加油及加氣站,304927.1987,2771378.173,121.5443702,25.04956683,1,0,0,0,0,,,,,,482,,
A3400341,正統乾洗商店,,臺北市,松山區,臺北市松山區民生東路四段八○巷七之八號一樓,非屬工業區類,9610,洗衣業,305803.1812,2772176.005,121.5530839,25.0567375,1,0,1,1,0,,,2012/5/23,2021/2/20,,961,,
A3405088,全國加油站股份有限公司-全國撫遠街加油站,,臺北市,松山區,臺北市松山區塔悠路九九號,非屬工業區類,4821,加油及加氣站,307526.8714,2771862.704,121.5701542,25.05384446,1,0,0,0,0,,,,,,482,63000,
A3405533,力隆砂石實業有限公司-力隆營建混合物分類場,86421037,臺北市,松山區,臺北市松山區濱江街八六二號,非屬工業區類,3821,非有害廢棄物處理業,305597.7434,2773864.326,121.551116,25.071987,1,1,1,0,0,,,,,,382,,
A34A0849,金茂榮環境工程股份有限公司-金茂榮營建混合物分類處理場,70463952,臺北市,松山區,臺北市松山區撫遠街四三五號,非屬工業區類,3821,非有害廢棄物處理業,307301.27,2773608.191,121.567991,25.069611,1,1,1,0,0,,,,,,382,63000,
A34A1392,仙妮蕾德餐旅管理有限公司,28337899,臺北市,松山區,臺北市松山區敦化北路一○○號,非屬工業區類,5510,短期住宿業,305347.4824,2771736.118,121.5485498,25.052783,1,1,1,0,0,,2007/8/17,,,,551,,
A34A1619,台灣中油股份有限公司-濱江大直橋加油加氣站,25638689,臺北市,松山區,臺北市松山區濱江街三七三號,非屬工業區類,4821,加油及加氣站,305643.5406,2773939.724,121.551573,25.072666,1,0,0,0,0,,,,,,482,,
A34A1847,北都汽車股份有限公司撫遠分公司,,臺北市,松山區,臺北市松山區撫遠街四一九號,非屬工業區類,,,307154.2707,2773400.164,121.5665253,25.06773857,1,0,0,0,0,,,,,,951,,
A34A7380,台亞石油股份有限公司松山機場加油站,16839714,臺北市,松山區,臺北市松山區敦化北路三四二之一號,,500,石油及天然氣礦業,305546.3582,2772823.288,121.5505646,25.06259055,1,0,1,0,0,,,2022/9/22,,,50,,
A34B0202,開泰豐國際股份有限公司-臺北文華東方酒店,28202098,臺北市,松山區,臺北市松山區敦化北路一五八號,非屬工業區類,5510,短期住宿業,305330.6118,2772019.73,121.548394,25.055344,1,0,1,0,0,,,,,,551,63000,
A3500051,福華大飯店股份有限公司-台北福華大飯店,36523299,臺北市,大安區,臺北市大安區仁愛路三段一六○號,非屬工業區類,5510,短期住宿業,304801.6804,2770060.627,121.5430739,25.03767667,1,1,1,1,0,,1993/5/5,,2021/2/20,,551,,
A3500195,臺北市立聯合醫院仁愛院區,99958172,臺北市,大安區,臺北市大安區仁愛路四段一○號,非屬工業區類,8610,醫院,305026.5821,2770046.396,121.545302,25.03754,1,1,1,1,0,,1992/9/16,,,,861,,
A3500202,國泰醫療財團法人國泰綜合醫院,,臺北市,大安區,臺北市大安區仁愛路四段二六六巷六號、二八○號,非屬工業區類,8610,醫院,305783.4872,2770009.368,121.552801,25.037178,1,1,1,1,0,,1992/9/16,,,,861,,
A3500266,宏恩醫療財團法人宏恩綜合醫院,4173290,臺北市,大安區,臺北市大安區仁愛路四段七一巷一號,非屬工業區類,8610,醫院,305198.6313,2770151.005,121.5470111,25.03847817,1,1,1,0,0,,1992/9/8,,,,861,63000,
A3500435,台灣中油股份有限公司-新生南路加油站,1802128,臺北市,大安區,臺北市大安區仁愛路三段一號,非屬工業區類,4821,加油及加氣站,303802.5352,2770143.621,121.5331762,25.03846179,1,0,0,0,0,,,,,,482,,
A3500453,台灣中油股份有限公司-龍安加油站,1802099,臺北市,大安區,臺北市大安區和平東路二段二號,非屬工業區類,4821,加油及加氣站,304022.3582,2768730.314,121.5352991,25.0256947,1,0,0,0,0,,,,,,482,,
A3500462,台灣中油股份有限公司-金山南路加油站,1802133,臺北市,大安區,臺北市大安區金山南路二段七七號,非屬工業區類,4821,加油及加氣站,303200.3466,2769365.96,121.5271787,25.03146239,1,0,0,0,0,,,,,,482,,
