綠化單元代碼,設置年度,縣市,綠化單元名稱,基地地址,緯度,經度,緯度,經度,TWD97X,TWD97Y,基地面積(公頃),基地長度(公里),基地長度換算面積(公頃),補助單位,基地類型,基地類型(校正),維運單位類型,列管狀態,管理單位,地址,聯絡人,聯絡電話,認養單位,認養期限,迄今認養年度,喬木總數量(株),本年度之建議樹種增植數量(株),年度,獎項名稱,,
apr-1,94,基隆市,天外天垃圾衛生掩埋場（一期）,基隆市信義區培德路221之3號附近,25.12189223,121.7769844,25.1219,121.7770,328354.36,2779505.10,1.061,-,-,環境部,環保公園,環保公園,志工認養,未解列,基隆環保局廢棄物處理管理科,基隆市信義區東光路253號,廢處科-邱彥禎,02-24668376 #1502,社團法人基隆市環境保護志願服務協會,116年12月31日,-,-,-,105、106、107、108、109、110、113,特優獎、特優獎、貢獻獎、貢獻獎、特殊貢獻獎、特殊貢獻獎、特優獎,,
apr-2,103,基隆市,天外天垃圾衛生掩埋場（二期）,基隆市信義區培德路221之3號附近,25.12189223,121.7769844,25.1219,121.7770,328354.36,2779505.10,0.156,-,-,環境部,環保公園,環保公園,志工認養,未解列,基隆環保局廢棄物處理管理科,基隆市信義區東光路253號,廢處科-邱彥禎,02-24668376 #1502,社團法人基隆市環境保護志願服務協會,116年12月31日,-,-,-,105、106、107、108、109、110、113,特優獎、特優獎、貢獻獎、貢獻獎、特殊貢獻獎、特殊貢獻獎、特優獎,,
apr-3,104,基隆市,天外天垃圾衛生掩埋場（三期）,基隆市信義區培德路221之3號附近,25.12189223,121.7769844,25.1219,121.7770,328354.36,2779505.10,0.260,-,-,環境部,環保公園,環保公園,志工認養,未解列,基隆環保局廢棄物處理管理科,基隆市信義區東光路253號,廢處科-邱彥禎,02-24668376 #1502,社團法人基隆市環境保護志願服務協會,116年12月31日,-,-,-,105、106、107、108、109、110、113,特優獎、特優獎、貢獻獎、貢獻獎、特殊貢獻獎、特殊貢獻獎、特優獎,,
apr-4,94,基隆市,中正公園國民廣場,基隆市中正區中正路,25.13695326,121.7582827,25.1370,121.7583,326459.14,2781167.00,1.108,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,基隆市政府工務處公用事業科,基隆市中正區義一路1號,陳信助,02-24273773、0976-737-937（李）、0911-966-330（蘇）,-,-,-,-,-,-,-,,
apr-5,99,基隆市,和平國小「清淨校園」（一期）,基隆市中正區和一路84巷26號,25.15571872,121.7660577,25.1557,121.7661,327233.87,2783242.85,0.280,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,和平國小,基隆市中正區和一路84巷26號,總務主任吳主任,02-24622106#30、fax:24620930、0917-258-006（蕭校長）,-,-,-,-,-,-,-,,
apr-6,103,基隆市,和平國小「清淨校園」（二期）,基隆市中正區和一路84巷26號,25.15571872,121.7660577,25.1557,121.7661,327233.87,2783242.85,0.108,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,和平國小,基隆市中正區和一路84巷26號,總務主任吳主任,02-24622106#30、fax:24620930、0917-258-006（蕭校長）,-,-,-,-,-,-,-,,
apr-7,96,基隆市,基隆市長興國小(一),基隆市七堵區東新街3號,25.0918783,121.7134296,25.0919,121.7134,321958.14,2776146.62,0.140,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,長興國小,基隆市七堵區東新街3號,總務主任張主任,02-24552096#31、0978-508-682、fax:24554791、janewang5@gmail.com、AB4829@mail.kl.edu.tw、amais1031@gmail.com(謝),-,-,-,-,-,-,-,,
apr-8,97,基隆市,基隆市長興國小(二),基隆市七堵區東新街3號,25.0918783,121.7134296,25.0919,121.7134,321958.14,2776146.62,0.120,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,長興國小,基隆市七堵區東新街3號,總務主任張主任,"02-24552096#31
0978-508-682
fax:24554791
janewang5@gmail.com
AB4829@mail.kl.edu.tw
amais1031@gmail.com(謝)",-,-,-,-,-,-,-,,
apr-9,98,基隆市,基隆市長興國小(三),基隆市七堵區東新街3號,25.0918783,121.7134296,25.0919,121.7134,321958.14,2776146.62,0.300,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,長興國小,基隆市七堵區東新街3號,總務主任張主任,"02-24552096#31
0978-508-682
fax:24554791
janewang5@gmail.com
AB4829@mail.kl.edu.tw
amais1031@gmail.com(謝)",-,-,-,-,-,-,-,,
apr-10,99,基隆市,基隆市長興國小(四),基隆市七堵區東新街3號,25.0918783,121.7134296,25.0919,121.7134,321958.14,2776146.62,0.096,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,長興國小,基隆市七堵區東新街3號,總務主任張主任,"02-24552096#31
0978-508-682
fax:24554791
janewang5@gmail.com
AB4829@mail.kl.edu.tw
amais1031@gmail.com(謝)",-,-,-,-,-,-,-,,
