綠化單元代碼,設置年度,縣市,綠化單元名稱,基地地址,"座標
(WGS 84 X)","座標
(WGS 84 Y)",TWD97X,TWD97Y,基地面積(平方公尺),"補助單位
(下拉式選單)","設置地點類型
(下拉式選單)","維運單位類型
(下拉式選單)","列管狀態
(下拉式選單)",單位名稱,地址,聯絡人,聯絡電話,認養單位,"類型
(下拉式選單)","認養期限
(民國年?月?日)",迄今認養年度
gw-1,108,基隆市,八斗國小,基隆市中正區北寧路396巷52號,25.13806326,121.7972043,330381.312,2781307.404,8.52,環保署,國小,自行維運,未解列,八斗國小,基隆市中正區北寧路396巷52號,校方,0224693391,基隆市海洋保育協會,志工認養,113年10月13日,-
gw-2,109,基隆市,武崙國中,基隆市安樂區武崙街205號,25.13869533,121.7075566,321341.545,2781326.991,35.4,環保署,國中,自行維運,未解列,武崙國中,基隆市安樂區武崙街205號,校方,0224342456,-,-,-,-
gw-3,110,基隆市,長樂國小,基隆市安樂區樂利三街30巷123號,25.12604174,121.7116186,321758.519,2779927.516,96.26,環保署,國小,自行維運,未解列,長樂國小,基隆市安樂區樂利三街30巷123號,校方,0224322765,基隆市安樂區五福里社區發展協會,志工認養,114年10月23日,-
gw-4,110,基隆市,德和國小,基隆市中山區文化路164號,25.15510646,121.7302311,323618,2783157.035,6,環保署,國小,自行維運,未解列,德和國小,基隆市中山區文化路164號,校方,0224278095,謝詹億,志工認養,114年11月30日,-
gw-5,112,基隆市,中正國中,基隆市中正區中船路36巷59號,25.13509891,121.753717,325998.203,2780953.83,35,環保署,國中,自行維運,未解列,中正國中,基隆市中正區中船路36巷59號,校方,"02-2428-2191#30
02-2428-2191#32
",-,-,-,-
gw-6,112,基隆市,武崙國中,基隆市安樂區武崙街205號,25.13869533,121.7075566,321341.545,2781326.991,500,基隆市政府,國中,自行維運,未解列,武崙國中,基隆市安樂區武崙街205號,校方,0224342456,-,-,-,-
gw-7,112,基隆市,暖江國小,基隆市暖暖區寧靜街3號,25.10536955,121.7377775,324408.948,2777651.837,25.8,教育部,國小,自行維運,未解列,暖江國小,基隆市暖暖區寧靜街3號,校方,0224574348,-,-,-,-
gw-8,112,基隆市,瑪陵國小,基隆市七堵區大成街1號,25.10986115,121.6898898,319576.509,2778123.833,39.6,教育部,國小,自行維運,未解列,瑪陵國小,基隆市七堵區大成街1號,校方,0224565663,-,-,-,-
gw-9,112,基隆市,德和國小,基隆市中山區文化路164號,25.15510646,121.7302311,323618,2783157.035,160,基隆市政府,國小,自行維運,未解列,德和國小,基隆市中山區文化路164號,校方,0224278095,-,-,-,-
gw-10,113,基隆市,復興國小,基隆市七堵區華新二路21號,25.1073286,121.6654997,317118.038,2777830.96,40,復興國小,國小,自行維運,未解列,復興國小,基隆市七堵區華新二路21號,校方,0224515601,-,-,-,-
