醫療院所,縣市,鄉鎮市區,地址,電話,TWD97X,TWD97Y
1001楊牙醫診所,宜蘭縣,宜蘭市,延平路38之34號,03-9381001,327449.872,2738926.977
101時尚診所,臺北市,信義區,忠孝東路5段35號4樓,87871011,307114.5248,2770470.419
101諾貝爾眼科診所,臺北市,信義區,信義路5段18號1樓(含夾層),02-27582889,306878.6669,2769515.253
101SKIN晶漾診所,新北市,新店區,北新路三段145號3樓,02-89127357,304630.7936,2764031.522
123牙醫診所,高雄市,前鎮區,復興三路165號1-2樓,5365012,179046.37,2501271.842
139牙醫診所,高雄市,鳳山區,光復路一段139-1號,07-7191307,183254.04,2503360.35
21世紀牙醫診所,臺北市,中山區,中山北路二段六十五巷九之一號,221002122,302837.7866,2772209.922
3世牙醫診所,臺南市,安南區,梅花里安中路一段557巷17號2樓,06-2471481,167969.14,2548929.49
一七美生活診所,臺北市,士林區,中山北路6段17號(1樓、2樓),02-28386767,302953.8724,2777302.563
一二三中醫診所,臺中市,西區,建國路三號一樓,04-22235343,217075.4948,2669831.113
一二三診所,臺南市,安平區,華平里慶平路517號1樓,06 2956611,165144.01,2544201.47
一元中醫診所,彰化縣,二林鎮,中正路21號,04-8962521,185748.976,2644004.693
一元堂中醫診所,基隆市,仁愛區,成功一路一百二十五號,(02)24338790,324645.922,2780084.978
一心中醫診所,臺中市,東區,一心街402號1樓,04-22131390,219761.1572,2670641.803
一心中醫診所,新北市,板橋區,懷德街117號1樓,02-2258-8137,298309.2624,2769320.18
一心牙醫診所,臺北市,文山區,忠順街二段21之2號,22345151,306838.7178,2764215.244
一心牙醫診所,高雄市,前鎮區,林森三路99號,07 3338918,178870.38,2501559.39
一心牙醫診所,宜蘭縣,羅東鎮,維揚路71號1樓,03-9617887,327082.29,2729663.49
一心牙醫診所,彰化縣,彰化市,崙平南路322號,04 7617760,201929.26,2662043.82
一心牙醫診所,金門縣,金城鎮,環島西路一段101號,082-320777,-21667.1638,2705078.288
一心牙醫診所,新北市,板橋區,自由路22號(1樓)、22-1號(2樓),02-82581701,296988.7395,2768370.558
一心牙醫診所,花蓮縣,花蓮市,新港街39號,03-8327914,311790.14,2652758.09
一心堂中醫診所,高雄市,橋頭區,新興路23號1樓,07-6164879,179022.815,2517800.98
一心堂中醫診所,南投縣,南投市,復興路257號,049-2221936,218052,2644973
一心堂中醫診所,臺東縣,臺東市,山西路一段247號,,262342.71,2517097.611
一日玩美牙醫診所,臺南市,北區,元寶里開元路485巷15號1樓及夾層,06-2081001,170488.05,2545687.94
一日尊榮牙醫診所,基隆市,仁愛區,仁一路209號1至3樓,02-24260111,325651.247,2780169.069
一日誠臻牙醫診所,新北市,永和區,竹林路43號1樓,289282299,302284.1992,2767437.397
一古堂中醫診所,雲林縣,莿桐鄉,莿桐村中正路66巷19-2號,05-5843452,199258.61,2628276.99
一弘診所,南投縣,埔里鎮,中正一路22號,049-2983192,246317.09,2651546.28
一正中醫診所,彰化縣,彰化市,興北里長壽街198號1樓,04-7289642,203372.21,2664345.37
一民診所,臺中市,東勢區,三民街48號1樓,04-25875170,232823.0287,2683018.601
一生中醫診所,宜蘭縣,羅東鎮,光榮路328號,03-9603753,328735.84,2730360.02
一生中醫診所,雲林縣,斗六市,平和街79號,05 5325603,203735.34,2622779.92
一生診所,新北市,新莊區,中平路304號1樓,29917660,294881.2521,2771596.178
一生緣中醫診所,屏東縣,潮州鎮,北門路175號,8.7808822,203211.93,2495451.29
一全診所,屏東縣,潮州鎮,永春里五福路18-2號,08 7801917,202283.49,2494012.56
一安堂中醫診所,臺南市,中西區,郡王里南門路185-5號1-2樓,06-2157579,168449.99,2542897.26
一安堂外婦科診所,嘉義縣,朴子市,山通路112號,05 3794828,172862.2,2596066.37
一成牙醫診所,臺南市,北區,成德里北安路1段191號1~3樓,(06)2511188,168789.46,2546500.17
一成牙醫診所,新北市,中和區,中和路67號1樓,02 22498983,300535.2105,2765991.209
一成牙醫診所,高雄市,苓雅區,三多二路238號,07-  7231575,179946.647,2502224.862
一杏牙醫診所,臺北市,信義區,信義路6段11號,27271230,308040.6556,2769687.261
一念中醫診所,臺中市,北屯區,軍福七路70之2號1樓,04-24364783,222045.0944,2673378.592
一明中醫診所,臺南市,永康區,埔園里自強路720號1、2樓,06-2017069,174341.58,2548415.65
一品牙醫診所,臺北市,南港區,昆陽街10號,227820638,309768.5873,2771858.151
