公園代碼,縣市別代碼,縣市,行政區域代碼,郵遞區號,行政區,鄉鎮市區,都計分區,類別,公園名稱,設置地點,面積(M2),公園面積(公頃),里別,維護單位,X座標,Y座標,TWD97X,TWD97Y
1,10019,臺中市,66000010,400,01中區,中區,停53,公園,中華路親水公園,中華路與光復路,309,0.0309,六合里、中華里、大誠里,養工處-公景維,120.678043,24.147621,217280.94,2671409.49
2,10019,臺中市,66000020,401,02東區,東區,公兼兒,公園,干城公園,自由三街與自由一街口,"3,535",0.3535,干城里,區公所,120.690609,24.141931,218556.58,2670776.45
3,10019,臺中市,66000020,401,02東區,東區,公111,公園,旱溪媽祖公園,建成路與東光路,"8,061",0.8061,旱溪里,區公所,120.69632,24.141116,219136.80,2670684.91
4,10019,臺中市,66000020,401,02東區,東區,公兼兒18,公園,東福公園,長福路與東英一街,"6,050",0.605,東信里,區公所,120.70364,24.134628,219879.22,2669964.77
5,10019,臺中市,66000020,401,02東區,東區,公18,公園,樂成公園,一心街與東英五街,"29,005",2.9005,東信里,養工處-公景維,120.70308,24.137373,219822.95,2670268.90
6,10019,臺中市,66000020,401,02東區,東區,公142,公園,十全公園,環中東路與東英八街口,"5,988",0.5988,東英里,養工處-公景維,120.709842,24.141515,220511.15,2670726.19
7,10019,臺中市,66000020,401,02東區,東區,公15,公園,東英公園,樂業路與喬城三街,"31,287",3.1287,東英里,養工處-公景維,120.709183,24.137171,220443.17,2670245.23
8,10019,臺中市,66000020,401,02東區,東區,公31,公園,大智公園,大智路與仁和路,"19,289",1.9289,東興里,養工處-公景維,120.689515,24.125519,218441.37,2668959.06
9,10019,臺中市,66000020,401,02東區,東區,公32,公園,東峰公園,仁和路與立德東街口,"48,280",4.828,東興里,養工處-公景維,120.686717,24.124517,218156.72,2668848.72
10,10019,臺中市,66000020,401,02東區,東區,公123,公園,泉源公園,樂業一路與進德路,"8,194",0.8194,泉源里,區公所,120.69365,24.136548,218864.34,2670179.60
11,10019,臺中市,66000020,401,02東區,東區,公136,公園,湧泉公園/帝國糖廠,樂業路與進德路口,"60,900",6.09,泉源里,養工處-公景維,120.691438,24.13742,218639.73,2670276.67
12,10019,臺中市,66000020,401,02東區,東區,公147,公園,公147公園,二聖街與東英八街(南),"1,734",0.1734,十甲里,區公所,120.704,24.141,219917.30,2670670.40
13,10019,臺中市,66000020,401,02東區,東區,兒177+細兒8-1,兒童遊樂場用地,兒177+細兒8-1,東英路與十甲巷,"5,897",0.5897,十甲里,區公所,120.70611,24.14737,220133.22,2671375.42
14,10019,臺中市,66000020,401,02東區,東區,兒17,兒童遊樂場用地,長福公園,十甲路與長福路,"6,719",0.6719,十甲里,區公所,120.702134,24.144178,219728.40,2671022.76
15,10019,臺中市,66000020,401,02東區,東區,兒19,兒童遊樂場用地,樂明公園,一心街與東英八街,"2,198",0.2198,十甲里,區公所,120.702035,24.141222,219717.65,2670695.41
16,10019,臺中市,66000020,401,02東區,東區,兒18,兒童遊樂場用地,樂豐公園,二聖街與東英八街,"1,080",0.108,十甲里,區公所,120.704664,24.141768,219984.96,2670755.31
17,10019,臺中市,66000020,401,02東區,東區,細兒8-10,兒童遊樂場用地,仁和公園,仁和路與東光園道,"1,853",0.1853,東門里,區公所,120.693471,24.126316,218843.67,2669046.44
18,10019,臺中市,66000020,401,02東區,東區,細兒8-9,兒童遊樂場用地,東門兒童公園,東光園路131巷口,"2,190",0.219,東門里,區公所,120.694151,24.127834,218913.15,2669214.41
19,10019,臺中市,66000020,401,02東區,東區,細兒8-5,兒童遊樂場用地,一心公園,一心街與東府街,"2,409",0.2409,東信里,區公所,120.702496,24.133156,219762.60,2669802.00
20,10019,臺中市,66000020,401,02東區,東區,兒178,兒童遊樂場用地,三賢公園,三賢街與東英十五街,"4,605",0.4605,東英里,區公所,120.708134,24.146722,220338.76,2671303.23
21,10019,臺中市,66000020,401,02東區,東區,細兒8-4,兒童遊樂場用地,旱平公園,十甲東路與東英八街,"2,977",0.2977,東英里,區公所,120.708771,24.141464,220402.29,2670720.77
22,10019,臺中市,66000020,401,02東區,東區,兒179,兒童遊樂場用地,進業公園,十甲東路與東英十五街,"1,501",0.1501,東英里,區公所,120.70927,24.146345,220454.13,2671261.23
23,10019,臺中市,66000020,401,02東區,東區,兒20,兒童遊樂場用地,樂利公園,十甲東路與東英六街,"1,684",0.1684,東英里,區公所,120.70764,24.138671,220286.70,2670411.68
24,10019,臺中市,66000020,401,02東區,東區,兒41,兒童遊樂場用地,忠孝公園,忠孝路與大勇街,"1,567",0.1567,振興里,區公所,120.688849,24.132765,218375.46,2669761.71
25,10019,臺中市,66000020,401,02東區,東區,細兒8-3,兒童遊樂場用地,育英公園,育英路與旱溪西路,"2,989",0.2989,樂成里,區公所,120.699629,24.138054,219472.37,2670345.07
26,10019,臺中市,66000020,401,02東區,東區,細兒8-12,兒童遊樂場用地,細兒8-12,樂業一路.樂業南路口,"2,033",0.2033,泉源里,區公所,120.69543,24.13717,219045.40,2670248.09
27,10019,臺中市,66000020,401,02東區,東區,細兒8-11,兒童遊樂場用地,蜜糖公園,樂業一路.樂業南路路口,"3,302",0.3302,泉源里,養工處-公景維,120.4141,24.0812,190426.36,2664140.13
28,10019,臺中市,66000020,401,02東區,東區,廣1,廣場,廣一公園,公園東路與南京六街口,"1,500",0.15,干城里,區公所,120.687093,24.141293,218199.09,2670706.58
29,10019,臺中市,66000020,401,02東區,東區,廣4,廣場,廣四公園,自由三街與進德一街,"2,041",0.2041,干城里,區公所,120.691381,24.140889,218634.79,2670660.87
30,10019,臺中市,66000020,401,02東區,東區,商4-1,綠地,干城省屬綠地,干城重劃區內(練武段1007地號等17筆),"64,935",6.4935,干城里,養工處-市六區,120.690505,24.142471,218546.14,2670836.27
31,10019,臺中市,66000020,401,02東區,東區,住2,綠地,六順綠地,振興段98地號,657,0.0657,東門里,區公所,120.699,24.125,219405.34,2668899.48
32,10019,臺中市,66000020,401,02東區,東區,住,綠地,大智北路左側綠地,復興段2-2、2-3、3-2地號,149,0.0149,新庄里,區公所,120.68737,24.13685,218226.14,2670214.45
33,10019,臺中市,66000030,402,03南區,南區,公47,公園,健康公園,五權南路與忠明南路口,"52,000",5.2,平和里,養工處-公景維,120.668416,24.120173,216295.39,2668371.90
34,10019,臺中市,66000030,402,03南區,南區,公134,公園,永興公園,工學路與工學二街口,"3,330",0.333,永興里,區公所,120.664729,24.1166,215919.67,2667977.08
35,10019,臺中市,66000030,402,03南區,南區,公68,公園,半平厝公園,忠明南路與南屯路一段口,"38,000",3.8,西川里,養工處-公景維,120.659505,24.132343,215392.88,2669721.90
36,10019,臺中市,66000030,402,03南區,南區,公45,公園,長春公園,合作街與正義街,"13,663",1.3663,長春里,區公所,120.680165,24.13106,217492.40,2669574.86
37,10019,臺中市,66000030,402,03南區,南區,公75,公園,文林公園,建國南路與建國南路2段150巷,"3,285",0.3285,福平里,區公所,120.664399,24.127371,215888.98,2669170.05
38,10019,臺中市,66000030,402,03南區,南區,公69,公園,民興公園,民興街與建國北路二段,"4,757",0.4757,福平里,區公所,120.66417,24.128479,215865.99,2669292.82
39,10019,臺中市,66000030,402,03南區,南區,公67,公園,福順公園,復興路2段99巷,"5,045",0.5045,福順里,區公所,120.66186,24.12402,215630.01,2668799.55
40,10019,臺中市,66000030,402,03南區,南區,公兼兒11,公園,樹仁公園,福田二街與樹義路口,"6,913",0.6913,樹義里,區公所,120.652405,24.10834,214664.65,2667065.34
41,10019,臺中市,66000030,402,03南區,南區,公70,公園,樹德公園,文心南路與樹德一巷口,"21,000",2.1,樹德里、九德里,養工處-公景維,120.654064,24.117659,214835.85,2668097.00
42,10019,臺中市,66000030,402,03南區,南區,公兼滯10,公園,九張犁公園,慶順路.益豐路一段 近烏日區,"16,938",1.6938,樹德里.九德里,養工處-公景維,120.6432,24.11862,213731.79,2668206.20
43,10019,臺中市,66000030,402,03南區,南區,公85、公兼兒23,公墓轉型,復興北公園/南區第7公墓,"復興北路773號,樹仔腳段1684、1684-1、1684-2、1685、1686、1689、1693、1694、1694-3、1695、1695-3地號","14,575",1.4575,樹德里,養工處-公景維,120.64614,24.113573,214029.23,2667646.48
44,10019,臺中市,66000030,402,03南區,南區,綠,綠地,江川公園,永南街與永東街,"5,866",0.5866,江川里,區公所,120.67173,24.124216,216633.30,2668818.87
45,10019,臺中市,66000030,402,03南區,南區,兒90,兒童遊樂場用地,大慶公園,工學北路與德富路,"2,427",0.2427,工學里,區公所,120.657601,24.115481,215194.80,2667854.90
46,10019,臺中市,66000030,402,03南區,南區,兒63,兒童遊樂場用地,永和公園,南和路88巷永和國宅旁,"3,681",0.3681,永和里,區公所,120.669431,24.116558,216397.62,2667971.30
47,10019,臺中市,66000030,402,03南區,南區,兒173,兒童遊樂場用地,兒173公園,永興四巷與高工南路口,"2,200",0.22,永興里,區公所,120.662131,24.111386,215654.19,2667400.27
48,10019,臺中市,66000030,402,03南區,南區,兒89,兒童遊樂場用地,和平公園,復興路2段15巷,"2,786",0.2786,和平里,區公所,120.657697,24.118985,215205.50,2668242.95
49,10019,臺中市,66000030,402,03南區,南區,細兒210,兒童遊樂場用地,國光公園,近瑞豐街38巷與瑞豐街口後方(南門市場),821,0.0821,國光里,區公所,120.683496,24.127215,217830.00,2669148.26
50,10019,臺中市,66000030,402,03南區,南區,兒91,兒童遊樂場用地,兒91公園,東興路一段與復興北路口,"1,400",0.14,崇倫里,區公所,120.656198,24.120168,215053.45,2668374.34
51,10019,臺中市,66000030,402,03南區,南區,兒62,兒童遊樂場用地,南平公園,福新街與和昌街口,"5,261",0.5261,福興里,區公所,120.668896,24.124643,216345.35,2668866.84
52,10019,臺中市,66000030,402,03南區,南區,兒93,兒童遊樂場用地,樹義公園,福田三街與大慶街一段257-3巷,"3,500",0.35,樹義里,區公所,120.654858,24.111387,214914.85,2667402.18
53,10019,臺中市,66000030,402,03南區,南區,兒92,兒童遊樂場用地,樹仔腳公園,復興北路與德富路,"3,980",0.398,樹德里,區公所,120.653863,24.11932,214815.87,2668281.01
54,10019,臺中市,66000030,402,03南區,南區,河(原兒182),兒童遊樂場用地,積善公園,大明路與五權南路,"4,800",0.48,積善里,區公所,120.672019,24.115356,216660.38,2667837.56
55,10019,臺中市,66000030,402,03南區,南區,細兒兼滯2,兒童遊樂場用地,慶順公園,慶順三街.中山醫大旁,"3,127",0.3127,樹德里,區公所,120.651797,24.12401,214607.15,2668800.95
56,10019,臺中市,66000030,402,03南區,南區,機175,公園,復新公園,綠川與復新街(包含綠川旁行人道),"1,294",0.1294,德義里、積善里,區公所,120.67581,24.124603,217048.11,2668860.77
57,10019,臺中市,66000030,402,03南區,南區,住5+商4,綠地,建成營區綠地,復興路三段.五權南路,"14,700",1.47,江川里,養工處-公景維,120.6701,24.12846,216468.72,2669289.28
58,10019,臺中市,66000030,402,03南區,南區,住+商,綠地,戰基處紀念廣場,建國南路三段.復興園路口,"5,437",0.5437,新榮里,區公所,120.66987,24.12936,216445.58,2669389.01
59,10019,臺中市,66000030,402,03南區,南區,住,綠地,樹子腳段316-20及343-2,工學六街.大慶街一段口,696,0.0696,工學里,區公所,120.66022,24.11413,215460.66,2667704.63
60,10019,臺中市,66000040,403,04西區,西區,細公61,公園,土庫公園,忠明南路與五權五街口,"2,500",0.25,土庫里,區公所,120.657707,24.136244,215211.19,2670154.39
61,10019,臺中市,66000040,403,04西區,西區,細公64,公園,光明公園,大忠南街與忠明南路20巷口,"2,243",0.2243,大忠里,區公所,120.655615,24.13888,214999.28,2670446.84
62,10019,臺中市,66000040,403,04西區,西區,公58,公園,市民廣場,公益路與中興街口,"30,000",3,中興里,養工處-市六區,120.663649,24.149925,215818.74,2671668.10
63,10019,臺中市,66000040,403,04西區,西區,公77,公園,東興公園,東興路三段與大業路口,"10,915",1.0915,公平里,養工處-公景維,120.653716,24.154439,214810.54,2672170.49
64,10019,臺中市,66000040,403,04西區,西區,公78,公園,萬壽公園,大墩路與向上南路ㄧ段口,"22,808",2.2808,公正里,區公所,120.65068,24.14527,214499.49,2671155.78
65,10019,臺中市,66000040,403,04西區,西區,公113,公園,上公館公園,柳川西路ㄧ段與五權五街口,"3,100",0.31,公民里,區公所,120.666131,24.135953,216067.29,2670120.09
66,10019,臺中市,66000040,403,04西區,西區,細公63,公園,大忠公園,精誠30街與大忠街口,"1,406",0.1406,公德里,區公所,120.656359,24.143574,215076.17,2670966.52
67,10019,臺中市,66000040,403,04西區,西區,公108,公園,公益公園,忠明南路與公益路口,"5,060",0.506,公德里,區公所,120.657846,24.150497,215229.17,2671732.88
68,10019,臺中市,66000040,403,04西區,西區,公41,公園,民龍公園,博館一街與民權路附近,"4,200",0.42,民龍里,區公所,120.669664,24.152441,216430.67,2671945.29
69,10019,臺中市,66000040,403,04西區,西區,細公60,公園,美村公園,美村路一段與五權西四街13巷口,"1,202",0.1202,吉龍里,區公所,120.661919,24.13872,215639.94,2670427.56
70,10019,臺中市,66000040,403,04西區,西區,細公59,公園,忠明公園,華美街與忠誠街口,"6,333",0.6333,忠明里,區公所,120.660001,24.154192,215449.16,2672141.57
71,10019,臺中市,66000040,403,04西區,西區,細公56,公園,忠誠公園,忠明路與華美街口,"3,265",0.3265,忠誠里,區公所,120.662738,24.160761,215729.05,2672868.42
72,10019,臺中市,66000040,403,04西區,西區,細公62,公園,五福公園,忠明南路與福人街口,560,0.056,昇平里,區公所,120.657101,24.143587,215151.59,2670967.78
73,10019,臺中市,66000040,403,04西區,西區,公42+細公兼兒1+公兼道,公園,茄苳公園,臺灣大道一段.梅川東路一段,"4,850",0.485,後龍里,區公所,120.671447,24.148462,216610.83,2671504.19
74,10019,臺中市,66000040,403,04西區,西區,公46,公園,公館公園,自由路一段與三民路ㄧ段口,"7,800",0.78,藍興里,區公所,120.66984,24.132406,216443.33,2669726.37
75,10019,臺中市,66000040,403,04西區,西區,公114,公園,樂群公園,柳川東路二段與大新街口,"6,809",0.6809,藍興里,區公所,120.667214,24.134952,216177.09,2670008.97
76,10019,臺中市,66000040,403,04西區,西區,公115,公園,藍興公園,樂群街與大新街口,"5,984",0.5984,藍興里,區公所,120.668211,24.134094,216278.20,2669913.70
