公園代碼,公園名稱,縣市,鄉鎮市區,公園面積(公頃),座落位置,維護管理單位,GOOLGE地圖連結,經度,緯度,TWD97X,TWD97Y,期程
1,大恩公園,臺南市,南區,0.08,桶盤淺公園旁與台南市南區大同路二段750巷底,工務局,https://goo.gl/maps/ZF9GahZf1wDmykDHA,120.209975,22.965706,168990.49,2540703.58,已於108年03月26日啟用
2,明和公園,臺南市,南區,0.08,中華西路與新興路口,工務局,https://goo.gl/maps/3YJGz5sHKY16vHLD9,120.184777,22.975119,166412.34,2541760.11,已於108年01月31日完工
3,水萍塭公園,臺南市,南區,0.28,永華路與金華路,工務局,https://goo.gl/maps/xiZszsz2bcHcxDyZ6,120.193495,22.986389,167313.13,2543003.21,已於108年05月07日完工
4,永康區公7公園_祥合公園,臺南市,永康區,0.012,台南市永康區中華二路283巷12號,工務局,https://goo.gl/maps/Qnx6eeYzVfMk316y9,120.23298,23.007499,171373.73,2545319.22,已於108年12月17日完工
5,凱德公園,臺南市,北區,0.0784,育德二路與育德二街221巷口,工務局,https://goo.gl/maps/TKq1V2Xjx9TioSyg8,120.205004,23.016005,168510.93,2546276.46,已於108年12月13日完工
6,長興生態公園,臺南市,北區,0.0375,北區公園北路,工務局,https://goo.gl/maps/RaZXrYosAM3N8mv69,120.2073962,23.0048866,168749.49,2545043.87,已於109年11月24日完工
7,中西區頂美公園(公所),臺南市,中西區,0.08,中西區中華西路二段791巷,區公所,https://goo.gl/maps/DVosNVP741XGkWtT9,120.1858708,23.00500077,166542.87,2545068.61,已於110年02月11日完工
8,永康總圖特色遊戲場(閱之森公園),臺南市,永康區,1.8735,台南市永康區康橋大道255號,文化局,https://goo.gl/maps/2BAvR9RczhLegtLLA,120.2375869,23.02396402,171855.48,2547140.09,108年12月底開工110年04月完工
9,竹溪水岸園區特色遊戲場,臺南市,南區,0.255,台南市南區大同路二段136巷13號,水利局,https://goo.gl/maps/erxZAzrQQbMsQJso8,120.2112201,22.97771982,169125.32,2542033.31,109年04月完工10月驗收
10,新營區公3公園,臺南市,新營區,0.0255,新營區公誠街2-4號號,工務局,https://goo.gl/maps/YonyAxGAYc2Axp1A8,120.318421,23.30429374,180286.24,2578143.16,110年07月09日完工
11,歸仁區公兒6,臺南市,歸仁區,0.4546,歸仁區歸仁八路327號,工務局,https://goo.gl/maps/giTVY2s4CBQQTTdw8,120.2767418,22.92752467,175816.24,2536440.16,110年10月13日完工
12,南區公61(健康綠洲公園),臺南市,南區,0.116,南區健康路二段,工務局,https://goo.gl/maps/rS5vih1aCBk2whKF7,120.1838636,22.98304243,166323.57,2542638.07,110年12月完工
13,安平區怡平公園特色,臺南市,安平區,0.06,建平八街322巷54號,工務局,https://goo.gl/maps/Em7NA2ufo3FF1n1v8,120.1763092,22.99293569,165555.15,2543737.99,110年07月26日完工
14,南區灣裡人工溼地公園,臺南市,南區,0.058,南區灣裡路124號,工務局,https://goo.gl/maps/JKYNqkYs4QUqMFVR8,120.1851219,22.93145869,166420.89,2536924.96,111年06月完工，111年7月5日開放
15,港濱歷史公園,臺南市,南區,0.058,安平區安億路,工務局,https://goo.gl/maps/LZuGf8wbL3cE2oxC9,120.1658807,22.99792891,164489.11,2544296.98,111年6月完工，111年7月15日開放
16,河樂廣場,臺南市,中西區,1.54,台南市中西區中正路343-20號,工務局,https://goo.gl/maps/SRFZQXBbif3zdk3u8,120.194065,22.993679,167376.01,2543810.19,已於109年02月29日完工
17,希望公園特色遊戲場,臺南市,北區,0.06,臺南市北區文成一路139-153號,區公所,https://maps.app.goo.gl/TrNBtxA67BrTQYbUA,120.2047451,23.01386506,168483.10,2546039.62,111年12月8日申報完工，112年1月20日開放
18,新化區虎頭埤全齡式地景遊憩,臺南市,新化區,0.0066,台南市新化區,觀旅局,https://maps.app.goo.gl/K5gARQELBoFQps1j9,120.3410823,23.03019048,182466.83,2547778.14,111年11月1日完工，111年12月1日啟用
19,文元公園新設特色遊戲場,臺南市,北區,0.05,台南市北區文成路650巷23號,區公所,https://maps.app.goo.gl/KWxP5UvM9LTr8KGM6,120.1976509,23.01304468,167755.39,2545952.74,112年8月15日完工，8月19日啟用
20,櫻花滯洪池特色公園,臺南市,柳營區,2.09,臺南市柳營區中山西路三段179巷3號號,區公所,https://maps.app.goo.gl/S1B3GJUHEGviwqM6A,120.3116512,23.27487052,179578.31,2574888.03,112年8月28日完工，已取得合格檢驗 ，9/21辦理驗收
