縣市,鄉鎮市區,鄉鎮市區人口密度(人/平方公里),年底人口數,土地面積
新北市,板橋區,23760.85369,549762,23.1373
新北市,三重區,23458.8466,382778,16.317
新北市,中和區,20045.22438,403791,20.144
新北市,永和區,37021.94687,211536,5.7138
新北市,新莊區,21341.1996,421239,19.7383
新北市,新店區,2552.569962,306884,120.2255
新北市,樹林區,5355.219628,177412,33.1288
新北市,鶯歌區,4236.773839,89501,21.1248
新北市,三峽區,600.7235279,115009,191.4508
新北市,淡水區,2943.87636,208004,70.6565
新北市,汐止區,2986.689202,212758,71.2354
新北市,瑞芳區,503.622041,35623,70.7336
新北市,土城區,8211.470407,242713,29.5578
新北市,蘆洲區,26411.34618,196371,7.4351
新北市,五股區,2716.818881,94717,34.8632
新北市,泰山區,4075.249344,78083,19.1603
新北市,林口區,2556.900127,138461,54.1519
新北市,深坑區,1148.712018,23639,20.5787
新北市,石碇區,47.91832064,6917,144.3498
新北市,坪林區,36.0757456,6163,170.835
新北市,三芝區,334.3036691,22061,65.9909
新北市,石門區,194.9497215,9994,51.2645
新北市,八里區,1101.326048,43495,39.4933
新北市,平溪區,54.66916743,3900,71.3382
新北市,雙溪區,50.88602679,7442,146.2484
新北市,貢寮區,104.4777911,10445,99.9734
新北市,金山區,400.8071005,19725,49.2132
新北市,萬里區,318.871634,20209,63.3766
新北市,烏來區,19.30367271,6199,321.1306
臺北市,松山區,20168.17761,187318,9.2878
臺北市,信義區,17973.89295,201446,11.2077
臺北市,大安區,24849.75443,282328,11.3614
臺北市,中山區,15505.80686,212152,13.6821
臺北市,中正區,18944.01283,144109,7.6071
臺北市,大同區,20525.91745,116618,5.6815
臺北市,萬華區,19054.5853,168675,8.8522
臺北市,文山區,8055.539687,253822,31.509
臺北市,南港區,5092.801157,111239,21.8424
臺北市,內湖區,8485.434803,267959,31.5787
臺北市,士林區,4139.337034,258163,62.3682
臺北市,北投區,4147.683275,235678,56.8216
桃園市,桃園區,13747.8092,478487,34.8046
桃園市,中壢區,5739.845792,439213,76.52
